topic,tokencount,words
0,34605,"work children tax help health government economy care country working"
energy,26237,"energy reform states nuclear continue americans work support oil commitment"
2,27306,"administration development legislation efforts federal health over act assistance rights"
3,54230,"any such law upon laws under against right much good"
4,42694,"national economic government through policy nations security defense problems economy"
5,33140,"federal fiscal public government during program million dollars expenditures tax"
6,12810,"country citizens thank american law iraq terrorists very much nation"
7,31433,"government system such business necessary present tariff may large out"
8,83047,"united states made were between treaty had under public present"
9,45351,"programs program federal american help billion state economic needs system"
10,33961,"states government land men given powers toward control cuba general"
11,24690,"men national public work country labor conditions nation man interstate"
12,19426,"war forces men peace against nations production attack any american"
13,56854,"government public state into citizens subject general some character force"
14,38268,"america americans know american tonight jobs just it's about get"
15,51649,"foreign war policy during while however service navy provisions property"
16,33325,"united were during june total act per his states number"
17,71638,"upon government report secretary such department country amount treasury subject"
18,60891,"may country without necessary your well whole shall peace executive"
19,37124,"his some come made where use over best part while"
20,33007,"very upon present action life way out among duty two"
21,40329,"states mexico government constitution had into united state were any"
22,34034,"work made legislation about further into under law per action"
freedom,45195,"nation free peace united nations power america freedom states progress"
24,33691,"american united department commission between service states foreign canal under"
